community,HOMICIDE,CRIM SEXUAL ASSAULT,ROBBERY,ASSAULT,BURGLARY,THEFT,MOTOR VEHICLE THEFT,ARSON,Average Commute,Diversity Index,Time to Loop - Car,Time to Loop - Transit,Time to Midway - Car,Time to Midway - Transit,Time to O'Hare - Car,Time to O'Hare - Transit
DOUGLAS,3,11,89,181,55,639,107,3,31.713963010024003,0.8625635325890243,14,25,18,45,33,74
OAKLAND,3,6,27,54,18,140,38,1,34.74531475252282,0.3117765531342213,13,36,18,51,35,78
FULLER PARK,3,4,51,56,32,158,28,2,33.634105960264904,0.39224687179437806,15,16,17,36,31,66
GRAND BOULEVARD,7,13,153,222,121,698,151,4,34.23096807548145,0.36259563806661943,18,34,20,44,34,73
KENWOOD,4,7,82,89,56,307,74,2,31.596218020022246,0.9324308582206579,13,17,19,48,36,69
LINCOLN SQUARE,1,6,42,99,89,502,59,1,36.008823264607905,0.9788253775156495,27,43,38,67,27,48
WASHINGTON PARK,4,11,124,232,203,405,81,4,36.4599609375,0.24017971738005706,19,25,21,44,36,76
HYDE PARK,,13,92,78,86,487,87,,27.491263105341986,1.1867869362432533,17,22,23,49,40,74
WOODLAWN,8,12,171,274,281,564,118,8,34.86312813263077,0.5658142722795343,20,38,26,52,40,88
ROGERS PARK,6,25,106,238,166,853,113,4,36.266905775984455,1.282105191906033,26,47,40,73,35,72
JEFFERSON PARK,1,3,24,56,82,294,42,1,33.34457019022393,0.8780729150842416,23,52,33,81,11,28
FOREST GLEN,,2,3,25,51,124,15,,31.93497703649988,0.7976182647130573,22,52,31,81,15,39
NORTH PARK,,6,23,34,87,245,35,1,30.41671888707858,1.1303815031174471,26,58,36,88,20,47
ALBANY PARK,5,14,70,172,176,550,144,6,36.43482064741907,1.1231009901778268,27,51,36,79,21,37
PORTAGE PARK,3,19,87,196,251,809,154,3,35.75957622804785,0.9331310781618073,24,52,34,81,16,35
IRVING PARK,7,22,83,166,195,762,198,11,33.270234507094024,1.0580860449231493,20,36,30,62,18,29
