community,commute,diversity,crime,schools,price,detached_median_price,attached_median_price,fips
DOUGLAS,0.7315850678072862,0.48294194916710903,-1.050959497634602,-0.9356778409243391,-0.22762595266713867,"$377,000","$115,500",14000
OAKLAND,-0.0047469079885450625,-1.144779847216138,-0.20869703809644433,-0.9355799099996094,-0.4000394575756992,"$405,000","$217,500",14000
FULLER PARK,0.26517180650893346,-0.9069686851318478,-4.305484687705368,-0.9410679123299289,1.6912839619210167,"$75,700","$108,500",14000
GRAND BOULEVARD,0.12019072285125262,-0.9945959552537758,-1.0653025437632353,-0.9355799073926034,0.28418266314104984,"$340,000","$122,500",14000
KENWOOD,0.7601859721208799,0.6894184510230283,0.27606585848810816,0.5899320731536604,-0.2502902904514808,"$577,500","$149,500",14000
LINCOLN SQUARE,-0.31166006032748755,0.8265265764982019,0.8068570905429264,0.17951731208484661,-0.18374646948890852,"$675,000","$275,625",14000
WASHINGTON PARK,-0.4212438771374561,-1.3563675107888706,-2.083160900710258,-0.9355800933590473,0.27852522303563065,"$156,000","$60,000",14000
HYDE PARK,1.7573020508995536,1.4411082107369477,0.2883010430794869,1.338739909945825,-0.19475299574083899,"$835,000","$175,000",14000
WOODLAWN,-0.03336442463429062,-0.39403092253092165,-0.5637567037259794,-0.6804153126583212,0.04303620670917709,"$85,000","$81,800",14000
ROGERS PARK,-0.3743497188240614,1.722798969819732,0.4907515537587488,-0.1984504528449112,-0.3243411497191854,"$439,000","$157,250",14000
JEFFERSON PARK,0.3355016341659818,0.528776293255814,0.9370285816495803,1.4823460103158193,-0.18971371580750798,"$296,500","$150,000",14000
FOREST GLEN,0.6778995477430838,0.2910114351264538,1.2980498466438133,1.4685096611095239,0.3345647400389856,"$445,000","$255,000",14000
NORTH PARK,1.0466927851817587,1.274415176300671,0.7001370555420854,0.4336894788743394,0.11175259567829289,"$365,000","$215,600",14000
ALBANY PARK,-0.4151371626945754,1.2528993270836097,0.8934890563436882,-0.05283194872323488,-0.18601597166235406,"$344,500","$183,600",14000
PORTAGE PARK,-0.25111658715725255,0.6914877869060213,0.7392596755803313,0.2658674040404042,-0.23565811039000462,"$279,950","$140,000",14000
IRVING PARK,0.35355817958886926,1.0607628978846944,0.666551752823693,-0.34592647352144384,-0.2531570023782685,"$467,500","$188,500",14000
DUNNING,-0.3523219877274861,0.37862892823622235,1.1925694377369345,-0.04403243352753784,-0.319293588508756,"$250,000","$156,750",14000
MONTCLARE,-0.18200311520434234,0.8229686478259447,0.955273484815037,-0.0266426038796191,-0.29853925902209033,"$229,950","$169,900",14000
