community,detached_new_listings_2015,detached_new_listings_2016,detached_new_listings_change,detached_closed_sales_2015,detached_closed_sales_2016,detached_closed_sales_change,detached_median_price_2015,detached_median_price_2016,detached_median_price_change,detached_percent_of_list_price_received_2015,detached_percent_of_list_price_received_2016,detached_percent_of_list_price_received_change,detached_market_time_2015,detached_market_time_2016,detached_market_time_change,detached_inventory_for_sale_2015,detached_inventory_for_sale_2016,detached_inventory_for_sale_change,attached_new_listings_2015,attached_new_listings_2016,attached_new_listings_change,attached_closed_sales_2015,attached_closed_sales_2016,attached_closed_sales_change,attached_median_price_2015,attached_median_price_2016,attached_median_price_change,attached_percent_of_list_price_received_2015,attached_percent_of_list_price_received_2016,attached_percent_of_list_price_received_change,attached_market_time_2015,attached_market_time_2016,attached_market_time_change,attached_inventory_for_sale_2015,attached_inventory_for_sale_2016,attached_inventory_for_sale_change
ALBANY PARK,293,279,- 4.8%,157,162,+ 3.2%,"$345,000","$344,500",- 0.1%,94.9%,94.8%,- 0.1%,107,75,- 29.9%,--,--,--,350,325,- 7.1%,173,217,+ 25.4%,"$166,750","$183,600",+ 10.1%,93.8%,94.7%,+ 1.0%,88,80,- 9.1%,--,--,--
ARCHER HEIGHTS,86,77,- 10.5%,64,58,- 9.4%,"$161,500","$174,950",+ 8.3%,95.8%,92.8%,- 3.1%,80,77,- 3.8%,--,--,--,8,8,0.0%,3,6,+ 100.0%,"$188,000","$62,500",- 66.8%,87.8%,98.5%,+ 12.2%,100,23,- 77.0%,--,--,--
ARMOUR SQUARE,10,8,- 20.0%,3,7,+ 133.3%,"$220,500","$530,000",+ 140.4%,94.8%,93.7%,- 1.2%,22,125,+ 468.2%,--,--,--,86,77,- 10.5%,38,37,- 2.6%,"$240,000","$240,000",0.0%,94.4%,97.0%,+ 2.8%,113,169,+ 49.6%,--,--,--
ASHBURN,862,879,+ 2.0%,476,482,+ 1.3%,"$142,750","$163,500",+ 14.5%,96.6%,97.4%,+ 0.8%,72,76,+ 5.6%,--,--,--,5,18,+ 260.0%,4,5,+ 25.0%,"$43,500","$45,000",+ 3.4%,87.3%,89.5%,+ 2.5%,53,99,+ 86.8%,--,--,--
AUBURN GRESHAM,551,638,+ 15.8%,275,294,+ 6.9%,"$55,012","$74,317",+ 35.1%,91.4%,93.0%,+ 1.8%,124,109,- 12.1%,--,--,--,15,6,- 60.0%,9,3,- 66.7%,"$14,000","$18,000",+ 28.6%,78.8%,117.4%,+ 49.0%,143,151,+ 5.6%,--,--,--
AUSTIN,586,535,- 8.7%,302,322,+ 6.6%,"$125,000","$132,500",+ 6.0%,94.7%,95.9%,+ 1.3%,85,80,- 5.9%,--,--,--,62,72,+ 16.1%,45,40,- 11.1%,"$64,044","$71,050",+ 10.9%,86.3%,92.9%,+ 7.6%,67,75,+ 11.9%,--,--,--
AVALON PARK,172,207,+ 20.3%,92,111,+ 20.7%,"$75,000","$84,000",+ 12.0%,100.0%,94.3%,- 5.7%,94,101,+ 7.4%,--,--,--,10,8,- 20.0%,7,3,- 57.1%,"$30,000","$83,000",+ 176.7%,94.1%,88.6%,- 5.8%,91,125,+ 37.4%,--,--,--
AVONDALE,221,232,+ 5.0%,117,130,+ 11.1%,"$365,000","$450,000",+ 23.3%,96.5%,97.1%,+ 0.6%,67,58,- 13.4%,--,--,--,229,260,+ 13.5%,167,159,- 4.8%,"$277,500","$279,900",+ 0.9%,97.4%,96.8%,- 0.6%,59,60,+ 1.7%,--,--,--
BELMONT CRAGIN,683,650,- 4.8%,362,366,+ 1.1%,"$195,000","$231,750",+ 18.8%,95.2%,95.7%,+ 0.5%,94,80,- 14.9%,--,--,--,55,47,- 14.5%,30,32,+ 6.7%,"$90,410","$142,120",+ 57.2%,86.4%,91.8%,+ 6.3%,147,50,- 66.0%,--,--,--
BEVERLY,465,474,+ 1.9%,202,207,+ 2.5%,"$295,000","$279,900",- 5.1%,94.9%,94.4%,- 0.5%,110,119,+ 8.2%,--,--,--,35,24,- 31.4%,6,20,+ 233.3%,"$94,750","$122,000",+ 28.8%,104.5%,91.6%,- 12.3%,170,121,- 28.8%,--,--,--
BRIDGEPORT,181,192,+ 6.1%,100,108,+ 8.0%,"$403,950","$399,450",- 1.1%,97.5%,96.4%,- 1.1%,128,69,- 46.1%,--,--,--,88,92,+ 4.5%,37,58,+ 56.8%,"$218,000","$248,950",+ 14.2%,95.3%,95.2%,- 0.1%,71,86,+ 21.1%,--,--,--
BRIGHTON PARK,126,107,- 15.1%,76,67,- 11.8%,"$132,750","$155,000",+ 16.8%,93.7%,96.1%,+ 2.6%,127,82,- 35.4%,--,--,--,20,36,+ 80.0%,6,21,+ 250.0%,"$157,500","$309,900",+ 96.8%,90.7%,101.0%,+ 11.4%,135,38,- 71.9%,--,--,--
BURNSIDE,66,64,- 3.0%,32,33,+ 3.1%,"$33,500","$44,500",+ 32.8%,89.8%,87.5%,- 2.6%,137,86,- 37.2%,--,--,--,1,0,- 100.0%,0,0,--,$0,$0,--,0.0%,0.0%,--,0,0,--,--,--,--
CALUMET HEIGHTS,239,234,- 2.1%,134,129,- 3.7%,"$93,850","$115,000",+ 22.5%,87.6%,92.6%,+ 5.7%,115,100,- 13.0%,--,--,--,2,1,- 50.0%,2,0,- 100.0%,"$24,250",$0,- 100.0%,81.0%,0.0%,- 100.0%,60,0,- 100.0%,--,--,--
