community,school_name,meet_benchmark_english,meet_benchmark_reading,meet_benchmark_math,meet_benchmark_science,meet_benchmark_all_four,average_class_size_high_school,act_english,act_math,act_reading,act_science,act_composite,school_coverage
LINCOLN SQUARE,AMUNDSEN HS,38,11.1,12.9,9.3,9.3,25.6,16.1,17.1,16.9,17.2,17,0.739356657290234
NORTH CENTER,AMUNDSEN HS,38,11.1,12.9,9.3,9.3,25.6,16.1,17.1,16.9,17.2,17,0.198227622635211
UPTOWN,AMUNDSEN HS,38,11.1,12.9,9.3,9.3,25.6,16.1,17.1,16.9,17.2,17,0.105182244488374
ASHBURN,BOGAN HS,23.9,7.8,3.3,4.8,4.8,23.3,14.8,15.7,15.8,16.2,15.7,0.998583871182115
CHICAGO LAWN,BOGAN HS,23.9,7.8,3.3,4.8,4.8,23.3,14.8,15.7,15.8,16.2,15.7,0.168267683885875
WEST LAWN,BOGAN HS,23.9,7.8,3.3,4.8,4.8,23.3,14.8,15.7,15.8,16.2,15.7,0.530317948264282
NORTH LAWNDALE,FARRAGUT HS,25.7,6.3,10.3,3.6,3.6,22,14.8,16.6,15.6,16.1,15.9,0.226319424237624
SOUTH LAWNDALE,FARRAGUT HS,25.7,6.3,10.3,3.6,3.6,22,14.8,16.6,15.6,16.1,15.9,0.546878269172645
HEGEWISCH,FENGER HS,15.7,2.8,0,3.7,3.7,20.7,13.1,15.1,14.5,14.5,14.4,0.155824078460194
RIVERDALE,FENGER HS,15.7,2.8,0,3.7,3.7,20.7,13.1,15.1,14.5,14.5,14.4,0.537865278180451
ROSELAND,FENGER HS,15.7,2.8,0,3.7,3.7,20.7,13.1,15.1,14.5,14.5,14.4,0.103795880792734
WEST PULLMAN,FENGER HS,15.7,2.8,0,3.7,3.7,20.7,13.1,15.1,14.5,14.5,14.4,0.862487249457994
BELMONT CRAGIN,FOREMAN HS,23,5.5,9.9,7.3,7.3,21.6,14.7,16.9,15.6,16.9,16.1,0.485113185801116
PORTAGE PARK,FOREMAN HS,23,5.5,9.9,7.3,7.3,21.6,14.7,16.9,15.6,16.9,16.1,0.110912700423836
CHICAGO LAWN,GAGE PARK HS,20.7,6.1,3.7,4.9,4.9,22.2,14.4,15.3,15.1,15.9,15.3,0.646708701448359
GAGE PARK,GAGE PARK HS,20.7,6.1,3.7,4.9,4.9,22.2,14.4,15.3,15.1,15.9,15.3,0.203403197731554
AUBURN GRESHAM,HARLAN HS,30.9,8.3,3.9,5,5,23.1,15.1,15.6,15.4,16.1,15.7,0.177465413843278
BURNSIDE,HARLAN HS,30.9,8.3,3.9,5,5,23.1,15.1,15.6,15.4,16.1,15.7,0.97769905148314
CHATHAM,HARLAN HS,30.9,8.3,3.9,5,5,23.1,15.1,15.6,15.4,16.1,15.7,0.573877061524293
PULLMAN,HARLAN HS,30.9,8.3,3.9,5,5,23.1,15.1,15.6,15.4,16.1,15.7,0.231339763730828
ROSELAND,HARLAN HS,30.9,8.3,3.9,5,5,23.1,15.1,15.6,15.4,16.1,15.7,0.421459915491213
WASHINGTON HEIGHTS,HARLAN HS,30.9,8.3,3.9,5,5,23.1,15.1,15.6,15.4,16.1,15.7,0.389945662782535
WEST ENGLEWOOD,HARPER HS,9,3,0.8,1.5,1.5,16.7,12.5,15,14.3,14.8,14.3,0.5957790649746
AUBURN GRESHAM,HIRSCH HS,12.3,2.5,1.2,3.7,3.7,19.7,12.5,14.9,14.6,15,14.4,0.517277190445881
AVALON PARK,HIRSCH HS,12.3,2.5,1.2,3.7,3.7,19.7,12.5,14.9,14.6,15,14.4,0.304534409599505
CHATHAM,HIRSCH HS,12.3,2.5,1.2,3.7,3.7,19.7,12.5,14.9,14.6,15,14.4,0.309674370826431
GREATER GRAND CROSSING,HIRSCH HS,12.3,2.5,1.2,3.7,3.7,19.7,12.5,14.9,14.6,15,14.4,0.250176461682363
WOODLAWN,HIRSCH HS,12.3,2.5,1.2,3.7,3.7,19.7,12.5,14.9,14.6,15,14.4,0.12116864466443
CHICAGO LAWN,HUBBARD HS,39.9,11.7,25.3,14.1,14.1,25.3,16.6,18.7,16.8,18,17.7,0.132097631982311
CLEARING,HUBBARD HS,39.9,11.7,25.3,14.1,14.1,25.3,16.6,18.7,16.8,18,17.7,0.359168232599287
GARFIELD RIDGE,HUBBARD HS,39.9,11.7,25.3,14.1,14.1,25.3,16.6,18.7,16.8,18,17.7,0.151279614350056
WEST LAWN,HUBBARD HS,39.9,11.7,25.3,14.1,14.1,25.3,16.6,18.7,16.8,18,17.7,0.466753270853177
AUBURN GRESHAM,HYDE PARK HS,22.1,6.3,2.3,3.2,3.2,29.3,14.8,15.4,15.2,15.9,15.4,0.202006405861099
HYDE PARK,HYDE PARK HS,22.1,6.3,2.3,3.2,3.2,29.3,14.8,15.4,15.2,15.9,15.4,0.138364659163647
SOUTH SHORE,HYDE PARK HS,22.1,6.3,2.3,3.2,3.2,29.3,14.8,15.4,15.2,15.9,15.4,0.135070597207921
WOODLAWN,HYDE PARK HS,22.1,6.3,2.3,3.2,3.2,29.3,14.8,15.4,15.2,15.9,15.4,0.878774495986793
BRIGHTON PARK,KELLY HS,39.2,8.7,17.7,8.1,8.1,24.8,16.3,17.7,16.1,16.6,16.8,0.878118535817524
GAGE PARK,KELLY HS,39.2,8.7,17.7,8.1,8.1,24.8,16.3,17.7,16.1,16.6,16.8,0.280250672486681
LOWER WEST SIDE,KELLY HS,39.2,8.7,17.7,8.1,8.1,24.8,16.3,17.7,16.1,16.6,16.8,0.121522086309684
MCKINLEY PARK,KELLY HS,39.2,8.7,17.7,8.1,8.1,24.8,16.3,17.7,16.1,16.6,16.8,0.999998098703709
HERMOSA,KELVYN PARK HS,28.9,9.9,3.6,7.5,7.5,19.4,15.2,15.9,15.8,16,15.9,0.627382003591948
LOGAN SQUARE,KELVYN PARK HS,28.9,9.9,3.6,7.5,7.5,19.4,15.2,15.9,15.8,16,15.9,0.250513658312658
CLEARING,KENNEDY HS,57,25.4,25.4,17.3,17.3,25.4,18.9,18.6,18.4,18.2,18.7,0.640831646892228
GARFIELD RIDGE,KENNEDY HS,57,25.4,25.4,17.3,17.3,25.4,18.9,18.6,18.4,18.2,18.7,0.844464998678166
HYDE PARK,KENWOOD HS,60.6,32.5,31,26.8,26.8,26.6,19.3,19.2,19.5,19.6,19.5,0.861567004166303
KENWOOD,KENWOOD HS,60.6,32.5,31,26.8,26.8,26.6,19.3,19.2,19.5,19.6,19.5,0.588431482044136
LAKE VIEW,LAKE VIEW HS,52,17.6,23.3,19.3,19.3,23.1,17.6,18.8,18.1,18.9,18.5,0.862093873508163
NORTH CENTER,LAKE VIEW HS,52,17.6,23.3,19.3,19.3,23.1,17.6,18.8,18.1,18.9,18.5,0.699291911791473
AUSTIN,MARSHALL HS,19.6,3.7,2.1,1.1,1.1,16.6,13.7,15.3,14.3,14.9,14.7,0.103119556339221
EAST GARFIELD PARK,MARSHALL HS,19.6,3.7,2.1,1.1,1.1,16.6,13.7,15.3,14.3,14.9,14.7,0.691102539358566
HUMBOLDT PARK,MARSHALL HS,19.6,3.7,2.1,1.1,1.1,16.6,13.7,15.3,14.3,14.9,14.7,0.107556020473682
NEAR WEST SIDE,MARSHALL HS,19.6,3.7,2.1,1.1,1.1,16.6,13.7,15.3,14.3,14.9,14.7,0.109384791783901
WEST GARFIELD PARK,MARSHALL HS,19.6,3.7,2.1,1.1,1.1,16.6,13.7,15.3,14.3,14.9,14.7,0.440300809507777
NORTH PARK,MATHER HS,31.2,15,16,11.2,11.2,24.8,15.6,17.5,17,17.4,17,0.623488419546677
WEST RIDGE,MATHER HS,31.2,15,16,11.2,11.2,24.8,15.6,17.5,17,17.4,17,0.697879926151349
BEVERLY,MORGAN PARK HS,46.4,19.8,14.4,14.7,14.7,23.8,17.4,17.5,18,18.1,17.9,0.99996870911657
MORGAN PARK,MORGAN PARK HS,46.4,19.8,14.4,14.7,14.7,23.8,17.4,17.5,18,18.1,17.9,0.892706697654221
MOUNT GREENWOOD,MORGAN PARK HS,46.4,19.8,14.4,14.7,14.7,23.8,17.4,17.5,18,18.1,17.9,0.999999776574497
ARMOUR SQUARE,PHILLIPS HS,12,6,1.5,2.3,2.3,23.6,13.6,15.4,14.9,15.6,15,0.851383735886498
DOUGLAS,PHILLIPS HS,12,6,1.5,2.3,2.3,23.6,13.6,15.4,14.9,15.6,15,0.999876030692542
FULLER PARK,PHILLIPS HS,12,6,1.5,2.3,2.3,23.6,13.6,15.4,14.9,15.6,15,0.764237664382893
GRAND BOULEVARD,PHILLIPS HS,12,6,1.5,2.3,2.3,23.6,13.6,15.4,14.9,15.6,15,0.627047264214138
LOOP,PHILLIPS HS,12,6,1.5,2.3,2.3,23.6,13.6,15.4,14.9,15.6,15,0.770928565395881
NEAR SOUTH SIDE,PHILLIPS HS,12,6,1.5,2.3,2.3,23.6,13.6,15.4,14.9,15.6,15,0.999865293328557
OAKLAND,PHILLIPS HS,12,6,1.5,2.3,2.3,23.6,13.6,15.4,14.9,15.6,15,0.720951927476336
WASHINGTON PARK,PHILLIPS HS,12,6,1.5,2.3,2.3,23.6,13.6,15.4,14.9,15.6,15,0.625490718309937
ALBANY PARK,ROOSEVELT HS,23.5,8,5.8,3.4,3.4,24.9,14.5,16.1,15.5,16,15.7,0.760359456754145
IRVING PARK,ROOSEVELT HS,23.5,8,5.8,3.4,3.4,24.9,14.5,16.1,15.5,16,15.7,0.258709101340747
AVONDALE,SCHURZ HS,31.9,9.7,8.4,5.6,5.6,24.1,15.6,16.7,16.2,16.6,16.4,0.999999595706469
DUNNING,SCHURZ HS,31.9,9.7,8.4,5.6,5.6,24.1,15.6,16.7,16.2,16.6,16.4,0.102463922689383
HERMOSA,SCHURZ HS,31.9,9.7,8.4,5.6,5.6,24.1,15.6,16.7,16.2,16.6,16.4,0.193338547107618
IRVING PARK,SCHURZ HS,31.9,9.7,8.4,5.6,5.6,24.1,15.6,16.7,16.2,16.6,16.4,0.699437924564599
LOGAN SQUARE,SCHURZ HS,31.9,9.7,8.4,5.6,5.6,24.1,15.6,16.7,16.2,16.6,16.4,0.108606586832209
NORTH CENTER,SCHURZ HS,31.9,9.7,8.4,5.6,5.6,24.1,15.6,16.7,16.2,16.6,16.4,0.102478938785696
PORTAGE PARK,SCHURZ HS,31.9,9.7,8.4,5.6,5.6,24.1,15.6,16.7,16.2,16.6,16.4,0.599394662830379
EDGEWATER,SENN HS,51.2,22.2,25,18.7,18.7,24,18.1,18.4,18.5,18.6,18.5,0.951175850220657
LINCOLN SQUARE,SENN HS,51.2,22.2,25,18.7,18.7,24,18.1,18.4,18.5,18.6,18.5,0.194760445252524
ROGERS PARK,SENN HS,51.2,22.2,25,18.7,18.7,24,18.1,18.4,18.5,18.6,18.5,0.111461146589895
UPTOWN,SENN HS,51.2,22.2,25,18.7,18.7,24,18.1,18.4,18.5,18.6,18.5,0.894742246764373
WEST RIDGE,SENN HS,51.2,22.2,25,18.7,18.7,24,18.1,18.4,18.5,18.6,18.5,0.14333120121565
AUSTIN,STEINMETZ COLLEGE PREP HS,28.2,13.2,12.2,12.5,12.5,23.1,15.3,17.1,16.8,17.6,16.8,0.18221748640969
BELMONT CRAGIN,STEINMETZ COLLEGE PREP HS,28.2,13.2,12.2,12.5,12.5,23.1,15.3,17.1,16.8,17.6,16.8,0.467932439279313
DUNNING,STEINMETZ COLLEGE PREP HS,28.2,13.2,12.2,12.5,12.5,23.1,15.3,17.1,16.8,17.6,16.8,0.897536040021137
MONTCLARE,STEINMETZ COLLEGE PREP HS,28.2,13.2,12.2,12.5,12.5,23.1,15.3,17.1,16.8,17.6,16.8,0.999999984284392
OHARE,STEINMETZ COLLEGE PREP HS,28.2,13.2,12.2,12.5,12.5,23.1,15.3,17.1,16.8,17.6,16.8,0.10180902982984
