community,commute,diversity,crime,schools,fips
"Addison village, Illinois",26.199020720128978,1.0130786275223453,0.20065489791363136,-0.6598300952933487,00243
"Algonquin village, Illinois",37.30595327807084,0.619292234452411,0.032966126774930764,1.3550729201020733,00685
"Alsip village, Illinois",30.73575072078066,1.0295229690191174,0.6281723911487856,-0.40041671078029095,01010
"Antioch village, Illinois",36.875663381349504,0.577479199550408,0.12018523814885239,0.9610515524942312,01595
"Arlington Heights village, Illinois",29.3893076298019,0.6066893664787546,-0.30620784325718525,-1.2131268130319748,02154
"Aurora city, Illinois",29.19987651549169,1.1800031484153628,0.013757441882994197,0.9754448283908589,03012
"Bannockburn village, Illinois",19.330543933054393,0.7240437380034161,-0.1459505080350414,-1.8209746517073606,03610
"Barrington Hills village, Illinois",36.476351351351354,0.3705490229743347,-0.5000820399994068,0.0230629079287404,03883
"Barrington village, Illinois",33.116790064485315,0.504748261281737,-0.3714947405055332,-0.0821587661563803,03844
"Bartlett village, Illinois",34.39848514656699,0.8682776466625681,-0.48944822179900577,0.8482052654425428,04013
"Batavia city, Illinois",28.877249303032862,0.4626811870771051,0.03559188899168724,0.27011590868544316,04078
"Beach Park village, Illinois",28.338154469192943,1.1079075709574173,-0.8298206265109046,1.4016508545806088,04303
"Bedford Park village, Illinois",25.926573426573427,0.6720329970485212,-0.8298206265109047,-1.0270966918127424,04572
"Beecher village, Illinois",31.414087513340448,0.4757625293029017,-0.13976990031965958,1.2397567406935035,04585
"Bellwood village, Illinois",30.86869636769719,0.7626681133303396,0.21541653634398447,0.6963222116284216,04975
"Bensenville village, Illinois",27.83306055646481,0.9761241669456818,-0.1415219557370717,-1.5339700918187615,05248
"Berkeley village, Illinois",28.2835201328352,1.2969003493508824,0.20849703792355082,0.6963222116284223,05404
"Berwyn city, Illinois",29.96419231542949,0.9839929957852034,0.26060462304357096,0.1431434570761651,05573
"Big Rock village, Illinois",26.78171641791045,0.19856773787915022,-0.8298206265109046,1.5757814173164366,05976
"Bloomingdale village, Illinois",28.31183192038334,0.8075625401731003,0.3817217575599574,-0.9411574144938336,06587
"Blue Island city, Illinois",29.13341913341913,1.1101726169988224,-0.16815222605315408,-0.3289193632373933,06704
"Bolingbrook village, Illinois",32.49023635259062,1.2988919210315366,0.040849251628954066,1.321231855234163,07133
"Braceville village, Illinois",29.592391304347824,0.34915766422630834,-0.8298206265109045,1.499503953094245,07640
"Braidwood city, Illinois",31.52934936350778,0.16831545001850085,0.06438072459421632,1.051884414653748,07770
"Bridgeview village, Illinois",29.60901207804274,0.8076820911056047,0.7746546426422256,-0.25922506635089876,08225
"Broadview village, Illinois",24.518054746651135,0.9088060514600712,1.8633837091168175,0.7321459077572064,08446
"Brookfield village, Illinois",29.050400173047805,0.6829404582308607,-0.18066010122683343,-1.1359661807202264,08576
"Buffalo Grove village, Illinois",29.502378509467402,0.7396338306762008,-0.44357320025676894,-1.0371311933542786,09447
"Bull Valley village, Illinois",37.62312633832976,0.475432852954668,-0.2298858791050077,0.7373790536317736,09531
"Burbank city, Illinois",31.033124296510692,0.8377512314015401,-0.1446626376691735,-1.3471283832951058,09642
"Burlington village, Illinois",31.569767441860463,0.0388124237051986,-0.8298206265109046,1.3906380657124149,09759
"Burnham village, Illinois",31.30016051364366,0.9870416751419872,0.5155678571174347,-0.3570631558654457,09798
"Burr Ridge village, Illinois",30.62121212121212,0.7574998382511602,-0.29607283017409086,-1.7983181144096116,09980
"Calumet City city, Illinois",31.422937316766717,0.8761056140133541,1.2609153059789002,-0.20070578294043817,10487
"Calumet Park village, Illinois",33.797061524334254,0.5185396802521267,-0.8298206265109046,-0.4004167107802849,10513
"Campton Hills village, Illinois",33.859306862520086,0.32850989867866826,-0.7004686657992467,1.0479625968604143,10906
"Carol Stream village, Illinois",29.046026841304247,1.0228071308533095,-0.16797700789732747,-0.6856790929619102,11332
"Carpentersville village, Illinois",31.385743029606207,1.0560019454461567,0.07770434335807792,1.268415417973276,11358
"Cary village, Illinois",37.2445620223398,0.5391847408245025,-0.4361771582997588,-0.35020985084388895,11592
"Channahon village, Illinois",30.356292517006803,0.2820682675774581,-0.46496349842609425,1.2143503419257864,12476
"Chicago Heights city, Illinois",26.43426294820717,1.1587399195016976,0.719923338104045,0.5965937203199163,14026
"Chicago Ridge village, Illinois",32.23655409631019,0.8725911877317328,1.4497667768276035,-0.4559022001330568,14065
"Chicago city, Illinois",33.71749035562199,1.280697130721048,0.8231005538155439,0.5184407693889762,14000
"Cicero town, Illinois",30.768862562077423,0.46763817599962315,0.35652128100428243,0.1431434570761651,14351
