community,commute,diversity,crime,schools,price,fips,median_price
"Addison village, Illinois",1.1248378438739985,1.1182617158432693,-0.4374781191978254,-0.3798718383854829,0.5633992308129634,00243,"$218,000"
"Algonquin village, Illinois",-1.5549823561995246,-0.33980939319307973,0.38627229572690025,-0.18888956931407985,-0.6032484804560339,00685,0
"Alsip village, Illinois",0.03024033600196159,1.1791501052481128,-0.3863699554429088,-0.9428585945886938,-0.07986970296120233,01010,"$128,000"
"Antioch village, Illinois",-1.4511643532445258,-0.4946303297329355,-0.10383010094606776,0.23378784336088523,0.40850174929040906,01595,"$195,000"
"Arlington Heights village, Illinois",0.3551027923670459,-0.38647397583680865,0.530494771494103,0.7013901536405432,0.11834426374696431,02154,"$310,000"
"Aurora city, Illinois",0.4008077000004272,1.7363323896580924,-0.18915387082077248,-0.2921651060138234,0.4099586811143602,03012,"$171,000"
"Bannockburn village, Illinois",2.7820265178591845,0.04805352854254809,0.6126961510542973,1.6919765528515267,-1.3090281077978643,03610,"$877,500"
"Barrington Hills village, Illinois",-1.3548205212693998,-1.260829765170968,0.4302825140510277,0.9932917147475071,-0.6032484804560339,03883,0
"Barrington village, Illinois",-0.5442438698886254,-0.763930848209261,0.2784274128169815,1.104398509818671,-1.1957515482203704,03844,"$430,000"
"Bartlett village, Illinois",-0.8534842792797334,0.5821077743477058,-0.18039352205436762,-0.7187313866702221,0.09665747362181065,04013,"$250,000"
"Batavia city, Illinois",0.4786494368193274,-0.9196924149340131,0.9324141954953418,0.8739135581817116,-0.6032484804560339,04078,0
"Beach Park village, Illinois",0.608719302458918,1.4693844188020915,-2.3075665620396997,-1.1990730380520989,1.1480700835124207,04303,"$147,250"
"Bedford Park village, Illinois",1.1905724431359228,-0.14452640839914824,-0.8761355676187653,-0.9014874525616581,-0.658249471650296,04572,"$137,500"
"Bellwood village, Illinois",-0.0018360656742158262,0.19106782959474775,-1.8969861867656501,-1.3712069647174958,0.3625142655450789,04975,"$119,700"
"Bensenville village, Illinois",0.7305856110190773,0.9814306006368922,-0.24321476860904886,-0.38733193979154873,0.049351820474906404,05248,"$189,450"
"Berkeley village, Illinois",0.62190117760089,2.1691671305502895,-0.8999320215909146,-1.3712069647174958,0.19429735695870481,05404,"$152,000"
"Berwyn city, Illinois",0.2163977461969258,1.0105664778402998,-1.7692466879848288,-1.623534590844507,0.7490584986898469,05573,"$185,000"
"Big Rock village, Illinois",0.9842481992295662,-1.8976240970860836,1.5459800769720295,0.7767299093196565,-0.6032484804560339,05976,0
"Bloomingdale village, Illinois",0.615070263685108,0.3572982222344195,0.06534788000930733,0.34649647740661826,0.20447289316003026,06587,"$245,375"
"Blue Island city, Illinois",0.4168421752250658,1.4777711946067684,-0.23011050041852735,-1.0080422597493028,3.5067719632554706,06704,"$89,000"
"Bolingbrook village, Illinois",-0.39307240244635083,2.1765413140676495,0.09940263363028859,-0.5629237514466083,0.9554762907689298,07133,"$199,900"
"Bridgeview village, Illinois",0.3020936995891465,0.3577408829352736,-0.8593784860801499,-0.5802648070163559,0.21731609978865332,08225,"$162,500"
"Broadview village, Illinois",1.5304121595423839,0.732172116769194,-1.7686930399423175,-1.3712069647174958,-0.6032484804560339,08446,0
"Brookfield village, Illinois",0.4368725378685398,-0.10413940086717316,-0.2525826477976228,0.9442391989500903,-0.07260935555810674,08576,"$229,000"
"Buffalo Grove village, Illinois",0.3278216662967308,0.1057788946634379,0.6858332043634323,1.5865640973812976,0.06394128849236781,09447,"$281,000"
"Bull Valley village, Illinois",-1.6315081448785278,-0.8724768789597747,-0.19657790151952578,-0.159190990858703,-0.6032484804560339,09531,0
"Burbank city, Illinois",-0.041508340876391554,0.4690777536617279,-0.8225111881611139,-0.8885381887142957,0.4769573217567423,09642,"$172,950"
"Burlington village, Illinois",-0.17098667646878782,-2.48914938138075,-0.021023539634138114,0.5932834795243496,-0.6032484804560339,09759,0
"Burnham village, Illinois",-0.1059373850873841,1.021854809202355,-2.8570398909068566,-1.455535955512538,2.2018020704513366,09798,"$49,500"
"Burr Ridge village, Illinois",0.05787558553739081,0.17193128067096178,0.23662610030931636,1.405285256090468,-1.3557107693376662,09980,"$533,500"
"Calumet City city, Illinois",-0.13556030351181936,0.6110923539002903,-3.167314421160195,-1.5381020066502082,2.4055877942352053,10487,"$52,050"
"Calumet Park village, Illinois",-0.7083760630145461,-0.7128654231279788,-1.4564603009468564,-0.9428585945886938,-1.381261002072021,10513,"$44,000"
"Campton Hills village, Illinois",-0.7233942792286644,-1.4164878418933229,-0.08907270034404957,0.7121876196677227,-0.6032484804560339,10906,0
"Carol Stream village, Illinois",0.43792771153479476,1.154283401433923,0.1534189643872185,0.1580314214612402,0.05407037596039406,11332,"$210,000"
"Carpentersville village, Illinois",-0.12658626846297957,1.2771936923414429,-0.03964894904929207,-0.19979418121996273,-0.6032484804560339,11358,0
"Cary village, Illinois",-1.5401702083488311,-0.6364230500682763,0.361764100083372,0.5464945172334128,-0.6032484804560339,11592,0
"Chicago Heights city, Illinois",1.0680798801945055,1.6576011274574314,-2.0960437124084383,-1.5984258005854488,1.4062534117257761,14026,"$64,950"
"Chicago Ridge village, Illinois",-0.33186532918520817,0.598079503491414,-0.029638040912144944,-0.9173619939358388,0.48461847791485607,14065,"$95,000"
"Cicero town, Illinois",0.022251291258438465,-0.9013381943135631,-1.292419520163502,-1.623534590844507,1.7070953385757266,14351,"$135,500"
"Clarendon Hills village, Illinois",0.24730573131833125,-0.24124378576072816,0.30724863973758276,1.4188300945977834,-1.9714462142028109,14572,"$413,900"
"Coal City village, Illinois",0.8371075276818775,-1.5249444148104914,-0.39701923757370894,-0.05333504692735243,-0.19244016178767748,15170,"$154,625"
"Country Club Hills city, Illinois",-1.6295649717089686,-0.256199319951574,-0.5500807393011832,-1.1301429073155345,4.3725270969781045,16691,"$103,500"
"Countryside city, Illinois",1.1157807784107736,0.010667700074159746,0.5898983279619043,1.1651837089911417,1.387166887344867,16873,"$229,950"
"Crestwood village, Illinois",-0.13284106591500652,-0.5112857615894095,0.25795562529442484,-0.9450608631276007,0.3748046879370082,17497,"$90,000"
"Crete village, Illinois",0.3262747193119307,0.3934687134644097,-0.802015711150957,-0.9700347730662918,1.811534167716398,17523,"$152,000"
"Crystal Lake city, Illinois",-0.25732003543693754,-0.4789565701949643,0.3727812225902023,0.5677637617327895,-0.6032484804560339,17887,0
"Darien city, Illinois",0.3166495607809549,0.10815503951178598,0.4025412097274765,1.1057428797792854,0.05112033400076282,18628,"$279,000"
"Deer Park village, Illinois",-0.9512532059563561,-1.1034987952738535,0.28987434817199276,1.0955167563561723,-0.6032484804560339,19083,0
"Deerfield village, Illinois",0.7091278252316189,-1.1697324043572308,0.4227386095037922,1.679599318436047,-0.4018060852960959,18992,"$399,000"
"Des Plaines city, Illinois",0.6846727601244073,0.799680256200836,0.28354646096652764,0.434666685577245,0.5348098850085314,19642,"$200,000"
"Diamond village, Illinois",1.308366845363159,-0.46393048798992037,-0.4338962796104697,-0.19068754514271663,-0.19244016178767748,19837,"$154,625"
"Dixmoor village, Illinois",0.395083227414662,1.0261821325367697,-2.316546201548394,-1.7847710841492594,-0.7492914850246493,20149,"$24,900"
"Dolton village, Illinois",-1.580570729877195,-0.9783031323172443,-2.424087856867135,-1.7847710841492594,1.6643829651226851,20292,"$38,982"
"Downers Grove village, Illinois",0.49467225717482927,-0.5160050432130643,0.08013359246503687,0.5287197599984764,-0.7271828369595205,20591,"$292,250"
"East Dundee village, Illinois",0.4357777075695563,-0.7775993154254541,0.09266804741570354,-0.2811708602079857,0.24368707235416254,21696,"$122,500"
"East Hazel Crest village, Illinois",0.3742190019285467,1.5689968646865178,-2.531247451330826,-1.7847710841492594,-0.5422691206536997,21904,"$57,400"
"Elburn village, Illinois",-0.6133703193596527,-1.465616826378111,0.3622459078604173,-0.18608702869245483,-0.6032484804560339,22931,0
"Elgin city, Illinois",0.55934370795572,1.4449619255520356,0.11211785545108435,-0.3990307627912604,0.27227275787622096,23074,"$175,000"
"Elk Grove Village village, Illinois",1.1673957091619442,0.04973396857626727,0.7187058608096999,0.5840498379185826,-0.5261613652342152,23256,"$220,000"
"Elmhurst city, Illinois",0.7297305140118022,-0.45747778309544374,-0.5853018731771253,0.9036830936827851,0.2873741987056499,23620,"$400,000"
"Elmwood Park village, Illinois",-0.6107036207918417,0.4056914753165716,-0.7540825989926486,-0.479281551316273,0.7294868682214788,23724,"$214,000"
"Evanston city, Illinois",0.311997667129388,1.425443098468031,-0.18661760994144924,0.924395936441081,-0.5611992563215878,24582,"$316,000"
"Evergreen Park village, Illinois",-0.7529772844120266,0.7390171411984274,-0.5114167173048981,-0.29055330486376846,0.6022231230438124,24634,"$170,000"
"Flossmoor village, Illinois",-1.030193356574531,0.9660340598772919,-0.948995466305344,-0.24614963483127975,-1.2795870147716049,26571,"$173,000"
"Ford Heights village, Illinois",1.4106190312086808,-1.9223555340249099,-1.2076096401473149,-1.5984258005854486,-0.7164121000892115,26710,"$8,800"
"Forest Park village, Illinois",-0.132379533713189,1.8642280995175748,-0.6095058503991296,-1.3712069647174958,0.7533809540882225,26935,"$190,500"
"Forest View village, Illinois",0.36387709217789643,-0.024635975403450288,0.5935006067518406,-1.4373365760338903,-0.5367255424898512,26987,"$150,433"
"Fox Lake village, Illinois",-2.4549742489875537,-0.323801869800089,-0.08092724202047265,-0.032565044479321584,1.7494626402758136,27442,"$122,000"
"Fox River Grove village, Illinois",-0.017184167952510144,-0.8840478100829543,0.8087791748176025,0.7119484887897658,-1.0095156069741622,27533,"$208,725"
"Frankfort village, Illinois",-0.4887495275851825,-0.6996135686033742,-0.16706901680325434,0.515147308871985,-0.6930772525699153,27624,"$305,000"
"Franklin Park village, Illinois",1.1450641929452476,0.5004706090323956,0.27860488011124773,-0.738483322155193,0.8014546292763061,27702,"$175,000"
"Geneva city, Illinois",0.3767789461792801,-1.1937064921916678,1.1355356225450821,1.127891652266493,-0.6032484804560339,28872,0
"Gilberts village, Illinois",-0.802461776056893,0.940306891788314,1.3164996831653588,-0.17958106097470786,-0.6032484804560339,29171,0
"Glen Ellyn village, Illinois",0.671116511871452,-0.22267096428768285,0.6523278066169792,0.2400259974314779,-0.5629391705511101,29756,"$366,000"
"Glencoe village, Illinois",-0.7389434309136268,-1.4979603786023885,0.6264443808624349,2.300721027452128,-0.84547204855975,29652,"$870,000"
"Glendale Heights village, Illinois",0.9774334105548319,1.9913060083575524,0.6592138711921747,0.2400259974314779,0.3212382397241185,29730,"$164,000"
"Glenview village, Illinois",0.09548058149649993,0.11017231217706744,0.41512431301015035,1.5456188534604196,-0.6032484804560339,29938,"$440,000"
"Golf village, Illinois",0.4790136788951527,-0.8372577010356791,0.3174251664102267,1.5456188534604196,-0.6032484804560339,30328,"$440,000"
"Grayslake village, Illinois",-0.08671068088178227,0.2796123784931878,-0.8197375414620822,0.3058544250142139,-0.6840193868608799,31121,"$175,000"
"Green Oaks village, Illinois",1.134066358140932,-0.20038619371448657,-1.402140307808075,1.5344406373297845,-0.7300321662403481,31446,"$390,000"
"Greenwood village, Illinois",-1.5456034031994632,-1.7800694940752377,-0.5877807777177063,-0.24107213708548814,-0.6032484804560339,31667,0
"Gurnee village, Illinois",0.6651561313721127,1.1324379825864652,-1.5171388388251832,0.41980713754687304,-0.4589760844991148,32018,"$216,250"
"Hainesville village, Illinois",-0.6455615691118092,0.25942029017996243,-0.1671958919376727,-0.5093061591137797,-0.6840193868608799,32200,"$175,000"
"Hampshire village, Illinois",-1.0800607972910659,-0.5938218099715202,1.175852064363848,-0.28117086020798565,-0.6032484804560339,32525,0
"Hanover Park village, Illinois",0.23646230735662263,1.9810169006433647,0.3060831505184398,-0.04074485513528371,1.3589802046119328,32746,"$170,000"
"Harvard city, Illinois",-0.9126205216433241,0.013246776989483452,-0.8033264754424432,-1.3341832663475517,-0.6032484804560339,33331,0
"Harvey city, Illinois",0.23487919088491158,-0.0342210071466968,-4.474238584098463,-1.7252314518128808,-0.6870264297340154,33383,"$15,987"
"Harwood Heights village, Illinois",-0.12473363854780517,-0.6780394668901988,0.3453420688032923,-0.07961245305701224,-0.48908944640747803,33435,"$247,500"
"Hawthorn Woods village, Illinois",-0.20668048933876132,-0.6105348968785496,-0.19546134836069431,1.015588443689083,-0.7638770379841335,33630,"$410,000"
