Place,District,District Id,Class Size - Kindergarten,Class Size - First,Class Size - Second,Class Size - Third,Class Size - Fourth,Class Size - Fifth,Class Size - Sixth,Class Size - Seventh,Class Size - Eighth,Class Size - High School,Class Size - Overall,Percent Meets-Exceeds - English,Percent Meets-Exceeds - Reading,Percent Meets-Exceeds - Math,Percent Meets-Exceeds - Science,Percent Meets-Exceeds - All,Teacher Salary,ACT Composite,ACT English,ACT Math,ACT Reading,ACT Science,Proportion of Place Covered by District
"Addison village, Illinois",DuPage High School District 88,0220880,,,,,,,,,,21.8,21.8,57.9,34.9,34.3,29.8,18.7,"$92,959.00",19.9,19.2,19.9,20.0,20.0,0.794166408581208
"Addison village, Illinois",Glenbard Township High School District 87,0220870,,,,,,,,,,22.7,22.7,67.4,48.9,51.4,44.5,33.2,"$96,313.00",21.8,21.1,22.0,21.9,21.7,0.144407785162842
"Algonquin village, Illinois",Community Unit School District 300,0453000,20.1,21.0,21.4,23.1,22.4,24.0,25.4,26.0,25.8,19.6,22.5,63.7,39.5,42.8,37.6,25.6,"$55,361.00",20.7,20.0,20.7,20.7,20.8,0.855168013957596
"Algonquin village, Illinois",Huntley Consolidated School District 158,0631580,16.2,20.1,21.5,21.8,21.6,22.9,23.3,22.3,23.3,23.6,21.1,79.2,49.5,56.4,49.2,34.1,"$54,761.00",22.4,22.4,22.6,22.0,22.3,0.144797460083548
"Alsip village, Illinois",Community High School District 218,0162180,,,,,,,,,,19.5,19.5,49.1,26.7,23.8,23.7,14.0,"$83,554.00",18.7,18.1,18.6,18.8,18.9,1.0
"Antioch village, Illinois",Antioch Community High School District 117,0491170,,,,,,,,,,20.8,20.8,76.0,47.6,51.8,48.7,34.3,"$61,620.00",21.9,21.6,21.9,21.8,22.0,1.0
"Arlington Heights village, Illinois",Township High School District 214,0162140,,,,,,,,,,20.5,20.5,77.7,53.6,63.1,52.7,40.5,"$98,687.00",23.1,22.9,23.6,22.6,22.6,0.979329583436216
"Aurora city, Illinois",Aurora East Unit School District 131,0451310,18.1,19.7,21.3,20.1,21.9,22.2,25.7,25.3,24.5,20.5,21.9,35.6,17.0,15.5,14.8,6.9,"$55,523.00",17.1,15.9,17.6,17.3,17.3,0.238607547017776
"Aurora city, Illinois",Aurora West Unit School District 129,0451290,18.7,19.9,21.8,20.7,22.5,22.8,19.9,21.3,21.2,22.1,21.2,51.0,27.7,25.3,22.5,14.0,"$65,939.00",18.7,18.2,18.7,18.9,18.6,0.292932598485856
"Aurora city, Illinois",Batavia Unit School District 101,0451010,17.9,20.7,21.4,24.9,25.8,27.6,29.0,27.6,26.8,24.5,24.5,82.7,58.8,69.2,60.6,45.1,"$73,326.00",23.4,23.0,23.7,23.3,22.9,0.0553996283263672
"Aurora city, Illinois",Indian Prairie Community Unit School District 204,0222040,24.0,25.0,25.7,26.1,27.0,27.5,27.0,27.9,27.8,27.1,26.8,85.3,66.3,68.9,63.0,52.2,"$64,997.00",24.5,24.5,24.5,24.4,24.0,0.311452921463434
"Aurora city, Illinois",Oswego Community Unit School District 308,0473080,22.7,22.7,23.0,23.9,25.4,25.5,21.2,20.8,20.7,23.8,23.0,64.5,41.9,41.3,39.0,25.6,"$51,648.00",20.8,20.3,20.7,20.9,20.8,0.0874881695715314
"Bannockburn village, Illinois",Township High School District 113,0491130,,,,,,,,,,18.0,18.0,87.6,74.6,77.0,72.1,61.6,"$107,529.00",25.8,25.9,25.6,25.9,25.3,0.989870548207852
"Barrington village, Illinois",Barrington Community Unit School District 220,0492200,19.5,19.6,19.7,21.1,21.2,23.4,20.3,20.0,19.0,23.7,21.5,82.0,62.9,70.4,62.7,50.2,"$78,692.00",24.4,24.1,24.7,24.2,24.0,0.996628305056632
"Barrington Hills village, Illinois",Barrington Community Unit School District 220,0492200,19.5,19.6,19.7,21.1,21.2,23.4,20.3,20.0,19.0,23.7,21.5,82.0,62.9,70.4,62.7,50.2,"$78,692.00",24.4,24.1,24.7,24.2,24.0,0.918738449792773
"Barrington Hills village, Illinois",Community Unit School District 300,0453000,20.1,21.0,21.4,23.1,22.4,24.0,25.4,26.0,25.8,19.6,22.5,63.7,39.5,42.8,37.6,25.6,"$55,361.00",20.7,20.0,20.7,20.7,20.8,0.0800950037067108
"Bartlett village, Illinois",School District U-46,0450460,19.1,23.6,22.5,23.6,23.7,24.3,25.3,22.0,24.9,19.5,22.0,52.2,32.2,34.7,29.4,19.3,"$63,851.00",19.4,18.5,19.8,19.3,19.4,0.993533830661184
"Batavia city, Illinois",Batavia Unit School District 101,0451010,17.9,20.7,21.4,24.9,25.8,27.6,29.0,27.6,26.8,24.5,24.5,82.7,58.8,69.2,60.6,45.1,"$73,326.00",23.4,23.0,23.7,23.3,22.9,0.869607889787938
"Batavia city, Illinois",Geneva Community Unit School District 304,0453040,19.7,21.6,22.4,22.8,23.6,24.9,19.9,24.6,22.2,21.1,21.9,90.4,70.6,66.0,62.0,50.2,"$69,734.00",24.3,24.7,23.8,24.7,23.6,0.128868292522515
"Beach Park village, Illinois",Waukegan Community Unit School District 60,0490600,20.2,21.2,21.3,21.7,24.1,24.4,20.6,22.1,20.7,16.9,20.3,37.1,16.1,14.8,13.9,6.7,"$55,576.00",17.3,16.4,17.4,17.1,17.9,0.247611938396749
"Beach Park village, Illinois",Zion-Benton Township High School District 126,0491260,,,,,,,,,,18.1,18.1,51.9,25.0,24.7,19.0,10.6,"$56,338.00",18.6,18.3,18.4,18.6,18.6,0.723499741697266
"Bedford Park village, Illinois",Argo Community High School District 217,0162170,,,,,,,,,,21.6,21.6,46.7,24.5,31.1,24.7,14.9,"$84,224.00",18.7,17.5,19.2,18.4,19.1,0.353577845541829
"Bedford Park village, Illinois",Reavis Township High School District 220,0162200,,,,,,,,,,21.4,21.4,44.4,24.7,32.7,24.7,14.3,"$98,806.00",18.7,17.3,19.3,18.5,19.1,0.646422154458171
"Beecher village, Illinois",Beecher Community Unit School District 200U,099200U,19.7,21.0,22.0,24.0,25.7,20.3,26.3,18.8,23.8,17.6,20.4,78.2,50.5,42.6,42.6,27.7,"$57,130.00",21.5,21.9,20.5,21.5,21.4,1.0
"Bellwood village, Illinois",Proviso Township High School District 209,0162090,,,,,,,,,,20.2,20.2,41.8,17.9,18.4,15.9,7.0,"$65,885.00",17.7,16.9,17.9,17.6,18.1,1.0
"Bensenville village, Illinois",Elmhurst School District 205,0222050,20.0,20.3,20.1,22.3,22.9,22.7,24.0,23.2,20.1,22.5,22.2,82.4,63.2,66.8,60.6,50.0,"$72,629.00",24.2,23.9,24.1,24.1,24.0,0.0681124330425682
"Bensenville village, Illinois",Fenton Community High School District 100,0221000,,,,,,,,,,19.6,19.6,53.8,32.9,40.2,27.4,17.3,"$106,311.00",19.8,18.7,20.5,19.8,19.8,0.911186642459033
"Berkeley village, Illinois",Proviso Township High School District 209,0162090,,,,,,,,,,20.2,20.2,41.8,17.9,18.4,15.9,7.0,"$65,885.00",17.7,16.9,17.9,17.6,18.1,1.0
"Berwyn city, Illinois",J. Sterling Morton High School District 201,0162010,,,,,,,,,,23.4,23.4,33.8,16.1,11.6,11.1,5.1,"$74,797.00",16.9,15.9,16.9,17.1,17.2,1.0
"Big Rock village, Illinois",Hinckley-Big Rock Community Unit School District 429,0194290,16.3,21.5,19.0,24.0,22.0,19.3,17.7,15.3,18.7,16.8,18.2,82.4,62.7,70.6,62.7,47.1,"$51,753.00",23.1,22.9,22.8,23.5,22.8,0.999293171345361
"Bloomingdale village, Illinois",Glenbard Township High School District 87,0220870,,,,,,,,,,22.7,22.7,67.4,48.9,51.4,44.5,33.2,"$96,313.00",21.8,21.1,22.0,21.9,21.7,0.47761314095476
"Bloomingdale village, Illinois",Lake Park Community High School District 108,0221080,,,,,,,,,,18.7,18.7,75.7,51.9,53.7,51.1,35.3,"$88,565.00",22.4,22.1,22.1,22.5,22.3,0.52238685904524
"Blue Island city, Illinois",Community High School District 218,0162180,,,,,,,,,,19.5,19.5,49.1,26.7,23.8,23.7,14.0,"$83,554.00",18.7,18.1,18.6,18.8,18.9,0.919006732656263
"Blue Island city, Illinois",Thornton Township High School District 205,0162050,,,,,,,,,,17.5,17.5,32.5,11.5,9.4,6.3,2.5,"$72,811.00",16.5,15.8,16.8,16.4,16.6,0.0771237338695252
"Bolingbrook village, Illinois",Naperville Community Unit District 203,0222030,22.1,22.5,23.0,24.3,23.6,22.9,22.3,22.9,24.4,20.6,22.3,84.4,68.8,71.8,66.6,55.2,"$70,084.00",24.9,24.5,24.9,25.0,24.6,0.05144208520009
"Bolingbrook village, Illinois",Plainfield School District 202,0992020,19.6,22.6,22.1,23.5,24.1,25.1,23.1,24.1,23.3,22.6,23.0,65.4,41.6,43.0,36.8,25.1,"$56,681.00",20.8,20.1,20.9,20.8,20.6,0.225807787939689
"Bolingbrook village, Illinois",Valley View Community Unit School District 365U,099365U,21.9,21.7,20.8,23.8,23.6,22.6,23.1,24.4,22.5,18.9,21.3,52.5,30.5,31.8,25.3,16.8,"$59,049.00",19.3,18.5,19.5,19.4,19.2,0.667465102957985
"Braceville village, Illinois",Gardner-South Wilmington Township High School District,0320730,,,,,,,,,,11.9,11.9,60.0,40.0,42.5,35.0,20.0,"$46,538.00",20.6,19.9,20.9,20.3,20.3,0.538842382321762
"Braceville village, Illinois",Reed Custer Community Unit School District 255U,099255U,18.4,21.2,22.4,21.4,26.0,24.6,22.5,19.6,19.7,17.6,20.3,63.0,38.6,34.6,35.4,16.5,"$60,432.00",20.3,20.2,19.9,20.2,20.7,0.461157617678237
"Braidwood city, Illinois",Coal City Community Unit School District 1,0320010,19.1,20.6,19.9,19.9,22.4,23.4,20.9,21.9,22.5,15.0,20.0,70.7,44.3,49.3,42.1,29.3,"$59,980.00",21.1,20.8,20.8,21.1,21.1,0.103814016195349
"Braidwood city, Illinois",Reed Custer Community Unit School District 255U,099255U,18.4,21.2,22.4,21.4,26.0,24.6,22.5,19.6,19.7,17.6,20.3,63.0,38.6,34.6,35.4,16.5,"$60,432.00",20.3,20.2,19.9,20.2,20.7,0.892407564211967
"Bridgeview village, Illinois",Argo Community High School District 217,0162170,,,,,,,,,,21.6,21.6,46.7,24.5,31.1,24.7,14.9,"$84,224.00",18.7,17.5,19.2,18.4,19.1,0.583737677253175
"Bridgeview village, Illinois",Consolidated High School District 230,0162300,,,,,,,,,,18.1,18.1,68.4,47.4,50.5,42.4,30.7,"$84,781.00",21.5,21.1,21.6,21.6,21.3,0.302633582681841
"Bridgeview village, Illinois",Oak Lawn Community High School District 229,0162290,,,,,,,,,,20.9,20.9,50.4,31.2,32.4,27.4,14.7,"$90,960.00",19.2,18.5,19.5,19.2,19.2,0.0709874303766931
"Broadview village, Illinois",Proviso Township High School District 209,0162090,,,,,,,,,,20.2,20.2,41.8,17.9,18.4,15.9,7.0,"$65,885.00",17.7,16.9,17.9,17.6,18.1,0.991240231101096
"Brookfield village, Illinois",Lyons Township High School District 204,0162040,,,,,,,,,,21.4,21.4,81.4,64.4,70.0,61.5,51.7,"$101,033.00",24.3,23.9,24.7,24.3,23.9,0.336983109869539
"Brookfield village, Illinois",Riverside Brookfield Township School District 208,0162080,,,,,,,,,,24.3,24.3,85.6,57.5,61.9,57.5,43.1,"$92,543.00",23.3,23.3,22.9,23.5,23.1,0.663016890130462
"Buffalo Grove village, Illinois",Adlai E. Stevenson High School District 125,0491250,,,,,,,,,,17.0,17.0,90.9,76.7,80.6,73.4,64.4,"$92,403.00",26.5,26.5,26.8,26.3,25.8,0.775830826194481
"Buffalo Grove village, Illinois",Township High School District 214,0162140,,,,,,,,,,20.5,20.5,77.7,53.6,63.1,52.7,40.5,"$98,687.00",23.1,22.9,23.6,22.6,22.6,0.224169173805519
"Bull Valley village, Illinois",Community High School District 155,0631550,,,,,,,,,,19.2,19.2,79.5,54.2,59.6,53.3,39.1,"$85,211.00",22.9,22.8,22.9,22.5,22.8,0.140905703108484
"Bull Valley village, Illinois",McHenry Community High School District 156,0631560,,,,,,,,,,19.0,19.0,62.5,36.6,40.1,32.6,23.1,"$69,309.00",20.4,19.9,20.4,20.2,20.4,0.293046705328337
"Bull Valley village, Illinois",Woodstock Community Unit School District 200,0632000,22.1,19.3,19.1,18.4,20.3,22.1,20.1,20.1,21.8,17.0,20.0,66.9,40.0,38.4,38.6,25.3,"$58,133.00",20.9,20.5,20.3,20.9,21.1,0.566047591563182
