Place,FIPS
"Addison village, Illinois",00243
"Algonquin village, Illinois",00685
"Alsip village, Illinois",01010
"Antioch village, Illinois",01595
"Arlington Heights village, Illinois",02154
"Aurora city, Illinois",03012
"Bannockburn village, Illinois",03610
"Barrington Hills village, Illinois",03883
"Barrington village, Illinois",03844
"Bartlett village, Illinois",04013
"Batavia city, Illinois",04078
"Beach Park village, Illinois",04303
"Bedford Park village, Illinois",04572
"Beecher village, Illinois",04585
"Bellwood village, Illinois",04975
"Bensenville village, Illinois",05248
"Berkeley village, Illinois",05404
"Berwyn city, Illinois",05573
"Big Rock village, Illinois",05976
"Bloomingdale village, Illinois",06587
"Blue Island city, Illinois",06704
"Bolingbrook village, Illinois",07133
"Braceville village, Illinois",07640
"Braidwood city, Illinois",07770
"Bridgeview village, Illinois",08225
"Broadview village, Illinois",08446
"Brookfield village, Illinois",08576
"Buffalo Grove village, Illinois",09447
"Bull Valley village, Illinois",09531
"Burbank city, Illinois",09642
"Burlington village, Illinois",09759
"Burnham village, Illinois",09798
"Burr Ridge village, Illinois",09980
"Calumet City city, Illinois",10487
"Calumet Park village, Illinois",10513
"Campton Hills village, Illinois",10906
"Carol Stream village, Illinois",11332
"Carpentersville village, Illinois",11358
"Cary village, Illinois",11592
"Channahon village, Illinois",12476
"Chicago Heights city, Illinois",14026
"Chicago Ridge village, Illinois",14065
"Chicago city, Illinois",14000
"Cicero town, Illinois",14351
"Clarendon Hills village, Illinois",14572
"Coal City village, Illinois",15170
"Country Club Hills city, Illinois",16691
"Countryside city, Illinois",16873
"Crest Hill city, Illinois",17458
"Crestwood village, Illinois",17497
"Crete village, Illinois",17523
"Crystal Lake city, Illinois",17887
"Darien city, Illinois",18628
"Deer Park village, Illinois",19083
"Deerfield village, Illinois",18992
"Des Plaines city, Illinois",19642
"Diamond village, Illinois",19837
"Dixmoor village, Illinois",20149
"Dolton village, Illinois",20292
"Downers Grove village, Illinois",20591
"East Dundee village, Illinois",21696
"East Hazel Crest village, Illinois",21904
"Elburn village, Illinois",22931
"Elgin city, Illinois",23074
"Elk Grove Village village, Illinois",23256
"Elmhurst city, Illinois",23620
"Elmwood Park village, Illinois",23724
"Elwood village, Illinois",23945
"Evanston city, Illinois",24582
"Evergreen Park village, Illinois",24634
"Flossmoor village, Illinois",26571
"Ford Heights village, Illinois",26710
"Forest Park village, Illinois",26935
"Forest View village, Illinois",26987
"Fox Lake village, Illinois",27442
"Fox River Grove village, Illinois",27533
"Frankfort village, Illinois",27624
"Franklin Park village, Illinois",27702
"Geneva city, Illinois",28872
"Gilberts village, Illinois",29171
"Glen Ellyn village, Illinois",29756
"Glencoe village, Illinois",29652
"Glendale Heights village, Illinois",29730
"Glenview village, Illinois",29938
"Glenwood village, Illinois",30029
"Godley village, Illinois",30120
"Golf village, Illinois",30328
"Grayslake village, Illinois",31121
"Green Oaks village, Illinois",31446
"Greenwood village, Illinois",31667
"Gurnee village, Illinois",32018
"Hainesville village, Illinois",32200
"Hampshire village, Illinois",32525
"Hanover Park village, Illinois",32746
"Harvard city, Illinois",33331
"Harvey city, Illinois",33383
"Harwood Heights village, Illinois",33435
"Hawthorn Woods village, Illinois",33630
"Hazel Crest village, Illinois",33695
"Hebron village, Illinois",33851
"Hickory Hills city, Illinois",34514
"Highland Park city, Illinois",34722
"Highwood city, Illinois",34865
"Hillside village, Illinois",35086
"Hinsdale village, Illinois",35307
"Hodgkins village, Illinois",35385
"Hoffman Estates village, Illinois",35411
"Holiday Hills village, Illinois",35515
"Homer Glen village, Illinois",35835
"Hometown city, Illinois",35866
