community,price
ALBANY PARK,0
ARCHER HEIGHTS,0
ARMOUR SQUARE,0
ASHBURN,4
AUBURN GRESHAM,4
AUSTIN,4
AVALON PARK,4
AVONDALE,2
BELMONT CRAGIN,5
BEVERLY,0
BRIDGEPORT,3
BRIGHTON PARK,0
BURNSIDE,0
CALUMET HEIGHTS,4
CHATHAM,5
CHICAGO LAWN,5
CLEARING,5
DOUGLAS,0
DUNNING,0
EAST GARFIELD PARK,0
EAST SIDE,5
EDGEWATER,3
EDISON PARK,0
ENGLEWOOD,0
FOREST GLEN,2
FULLER PARK,0
GAGE PARK,5
GARFIELD RIDGE,5
GRAND BOULEVARD,5
GREATER GRAND CROSSING,0
HEGEWISCH,0
HERMOSA,0
HUMBOLDT PARK,0
HYDE PARK,0
IRVING PARK,3
JEFFERSON PARK,4
KENWOOD,0
LAKE VIEW,2
LINCOLN PARK,3
LINCOLN SQUARE,0
LOGAN SQUARE,4
LOOP,0
LOWER WEST SIDE,0
MCKINLEY PARK,0
MONTCLARE,3
MORGAN PARK,0
MOUNT GREENWOOD,3
NEAR NORTH SIDE,3
NEAR SOUTH SIDE,0
NEAR WEST SIDE,0
NEW CITY,0
NORTH CENTER,0
NORTH LAWNDALE,0
NORTH PARK,5
NORWOOD PARK,4
OAKLAND,0
OHARE,0
PORTAGE PARK,4
PULLMAN,0
RIVERDALE,0
ROGERS PARK,2
ROSELAND,3
SOUTH CHICAGO,4
SOUTH DEERING,0
SOUTH LAWNDALE,0
SOUTH SHORE,5
UPTOWN,3
WASHINGTON HEIGHTS,3
WASHINGTON PARK,0
WEST ELSDON,4
WEST ENGLEWOOD,5
WEST GARFIELD PARK,0
WEST LAWN,3
WEST PULLMAN,5
WEST RIDGE,2
WEST TOWN,4
WOODLAWN,0
