community,price
"Arlington Heights village, Illinois",2
"Aurora city, Illinois",3
"Bartlett village, Illinois",2
"Beach Park village, Illinois",5
"Bensenville village, Illinois",2
"Bolingbrook village, Illinois",5
"Buffalo Grove village, Illinois",3
"Carol Stream village, Illinois",2
"Darien city, Illinois",1
"Elmhurst city, Illinois",4
"Elmwood Park village, Illinois",5
"Evanston city, Illinois",5
"Evergreen Park village, Illinois",4
"Forest Park village, Illinois",5
"Glen Ellyn village, Illinois",1
"Hanover Park village, Illinois",5
"Highland Park city, Illinois",1
"Hinsdale village, Illinois",4
"Hoffman Estates village, Illinois",3
"Homewood village, Illinois",3
"Joliet city, Illinois",4
"Lake Bluff village, Illinois",4
"Lake Forest city, Illinois",1
"Lake Villa village, Illinois",4
"Libertyville village, Illinois",1
"Lincolnwood village, Illinois",1
"Lindenhurst village, Illinois",4
"Lombard village, Illinois",2
"Melrose Park village, Illinois",5
"Morton Grove village, Illinois",4
"Mount Prospect village, Illinois",3
"Mundelein village, Illinois",1
"Naperville city, Illinois",1
"New Lenox village, Illinois",2
"Niles village, Illinois",3
"Norridge village, Illinois",2
"Oak Lawn village, Illinois",5
"Oak Park village, Illinois",4
"Orland Park village, Illinois",2
"Palatine village, Illinois",2
"Palos Heights city, Illinois",2
"Palos Hills city, Illinois",4
"Park Forest village, Illinois",5
"Plainfield village, Illinois",3
"Prospect Heights city, Illinois",2
"Riverside village, Illinois",5
"Rolling Meadows city, Illinois",2
"Romeoville village, Illinois",5
"Roselle village, Illinois",2
"Round Lake Beach village, Illinois",1
"Round Lake Heights village, Illinois",1
"Round Lake Park village, Illinois",1
"Round Lake village, Illinois",1
"Schaumburg village, Illinois",3
"Skokie village, Illinois",5
"St. Charles city, Illinois",1
"Streamwood village, Illinois",4
"Tinley Park village, Illinois",3
"Vernon Hills village, Illinois",2
"Villa Park village, Illinois",3
"Warrenville city, Illinois",3
"Westchester village, Illinois",4
"West Chicago city, Illinois",5
"Western Springs village, Illinois",1
"Wheaton city, Illinois",2
"Wheeling village, Illinois",3
"Willowbrook village, Illinois",5
"Wilmette village, Illinois",3
"Winfield village, Illinois",4
"Winthrop Harbor village, Illinois",1
"Wood Dale city, Illinois",2
"Woodridge village, Illinois",4
"Worth village, Illinois",3
"Zion city, Illinois",5
