community,schools
"Addison village, Illinois",-1.1272898851803725
"Algonquin village, Illinois",-0.5060047601954512
"Alsip village, Illinois",-2.9587441813998607
"Antioch village, Illinois",0.8690086923041038
"Arlington Heights village, Illinois",2.3901674951494085
"Aurora city, Illinois",-0.8419707901225331
"Bannockburn village, Illinois",5.612647769546317
"Barrington village, Illinois",3.7011954673036427
"Barrington Hills village, Illinois",3.339753541840635
"Bartlett village, Illinois",-2.2296351334175655
"Batavia city, Illinois",2.9514040197458877
"Beach Park village, Illinois",-3.792236333860306
"Bedford Park village, Illinois",-2.8241595664509926
"Beecher village, Illinois",0.24809950883089724
"Bellwood village, Illinois",-4.352205846540422
"Bensenville village, Illinois",-1.151558368621288
"Berkeley village, Illinois",-4.352205846540422
"Berwyn city, Illinois",-5.173053779166343
"Big Rock village, Illinois",2.6352555326463936
"Bloomingdale village, Illinois",1.2356615660523096
"Blue Island city, Illinois",-3.1707934033155523
"Bolingbrook village, Illinois",-1.7227767397343454
"Braceville village, Illinois",-1.2618375229340357
"Braidwood city, Illinois",-1.1854447117465154
"Bridgeview village, Illinois",-1.7791889916643557
"Broadview village, Illinois",-4.352205846540422
"Brookfield village, Illinois",3.1801806215051407
"Buffalo Grove village, Illinois",5.269730121273412
"Bull Valley village, Illinois",-0.40939220491878886
"Burbank city, Illinois",-2.7820342683958974
"Burlington village, Illinois",2.038485274247151
"Burnham village, Illinois",-4.62653679799834
"Burr Ridge village, Illinois",4.680011253044933
"Calumet City city, Illinois",-4.895132723944744
"Calumet Park village, Illinois",-2.9587441813998607
"Campton Hills village, Illinois",2.425292771767148
"Carol Stream village, Illinois",0.622565196385985
"Carpentersville village, Illinois",-0.5414785934669868
"Cary village, Illinois",1.8862759281849195
"Channahon village, Illinois",0.5335380179859149
"Chicago city, Illinois",-3.6829342368277076
"Chicago Heights city, Illinois",-5.091372280825328
"Chicago Ridge village, Illinois",-2.8758010956342535
"Cicero town, Illinois",-5.173053779166343
"Clarendon Hills village, Illinois",4.724074017226312
"Coal City village, Illinois",-0.0650318426948089
"Country Club Hills city, Illinois",-3.567999470940418
"Countryside city, Illinois",3.898936023265843
"Crest Hill city, Illinois",0.31181360980800815
"Crestwood village, Illinois",-2.965908389318731
"Crete village, Illinois",-3.047151107991326
"Crystal Lake city, Illinois",1.95546698603223
"Darien city, Illinois",3.705568842188481
"Deerfield village, Illinois",5.572383342549097
"Deer Park village, Illinois",3.67230220230651
"Des Plaines city, Illinois",1.5224883959438011
"Diamond village, Illinois",-0.5118537620051261
"Dixmoor village, Illinois",-5.697572811126956
"Dolton village, Illinois",-5.697572811126956
"Downers Grove village, Illinois",1.828452799765834
"East Dundee village, Illinois",-0.806205368479956
"East Hazel Crest village, Illinois",-5.697572811126956
"Elburn village, Illinois",-0.49688780494694773
"Elgin city, Illinois",-1.1896158529358916
"Elk Grove Village village, Illinois",2.0084472806313136
"Elmhurst city, Illinois",3.048247405650014
"Elmwood Park village, Illinois",-1.4506799895247189
"Elwood village, Illinois",-2.8635524757821176
"Evanston city, Illinois",3.115628430938124
"Evergreen Park village, Illinois",-0.8367274338474626
"Flossmoor village, Illinois",-0.6922776908422111
"Ford Heights village, Illinois",-5.091372280825327
"Forest Park village, Illinois",-4.352205846540422
"Forest View village, Illinois",-4.5673323293897266
"Fox Lake village, Illinois",0.0025351289911201107
"Fox River Grove village, Illinois",2.424514854224742
"Frankfort village, Illinois",1.7843002088710145
"Franklin Park village, Illinois",-2.2938902277053304
"Geneva city, Illinois",3.7776210957818894
"Gilberts village, Illinois",-0.47572321733197354
"Glencoe village, Illinois",7.5929566685086325
"Glendale Heights village, Illinois",0.8893020543542445
"Glen Ellyn village, Illinois",0.8893020543542445
"Glenview village, Illinois",5.1365309970269095
"Glenwood village, Illinois",-4.419632987964499
"Godley village, Illinois",-1.273100144665103
"Golf village, Illinois",5.1365309970269095
"Grayslake village, Illinois",1.103448755287043
"Green Oaks village, Illinois",5.100167100841167
"Greenwood village, Illinois",-0.6757600641696252
"Gurnee village, Illinois",1.4741487453565651
"Hainesville village, Illinois",-1.5483531520585825
"Hampshire village, Illinois",-0.8062053684799558
"Hanover Park village, Illinois",-0.024074643269164437
"Harvard city, Illinois",-4.231763916611446
"Harvey city, Illinois",-5.503884213240242
"Harwood Heights village, Illinois",-0.15051496964122446
"Hawthorn Woods village, Illinois",3.412287113122285
"Hazel Crest village, Illinois",-3.1289541087290904
"Hebron village, Illinois",-1.7446869242676737
"Hickory Hills city, Illinois",0.0026777845499638933
"Highland Park city, Illinois",5.612647769546317
"Highwood city, Illinois",5.612647769546317
"Hillside village, Illinois",-4.352205846540422
"Hinsdale village, Illinois",5.013431382796735
"Hodgkins village, Illinois",3.898936023265843
"Hoffman Estates village, Illinois",0.8631016867701119
"Holiday Hills village, Illinois",-1.115284285183314
"Homer Glen village, Illinois",0.7831867933680939
"Hometown city, Illinois",-2.271555654302258
"Homewood village, Illinois",-0.6922776908422111
"Huntley village, Illinois",1.1280247601570494
"Indian Creek village, Illinois",2.792253831906185
"Indian Head Park village, Illinois",3.898936023265843
"Inverness village, Illinois",2.2869647146044767
"Island Lake village, Illinois",0.7491973918970746
"Itasca village, Illinois",1.2521417567094495
"Johnsburg village, Illinois",-0.6423896759223258
"Joliet city, Illinois",-2.198139841846137
"Justice village, Illinois",-2.901174363246976
"Kaneville village, Illinois",-0.49688780494694773
"Kenilworth village, Illinois",7.5929566685086325
"Kildeer village, Illinois",4.8048039426171
"La Grange village, Illinois",3.898936023265843
"La Grange Park village, Illinois",3.71053885058924
"Lake Barrington village, Illinois",3.471642106033795
"Lake Bluff village, Illinois",6.012808485259566
"Lake Forest city, Illinois",6.012808485259566
"Lake in the Hills village, Illinois",0.6589151674379464
"Lakemoor village, Illinois",-0.681077700807215
"Lake Villa village, Illinois",0.7259505096801996
"Lakewood village, Illinois",1.6013216601265767
"Lake Zurich village, Illinois",3.6551965971146965
"Lansing village, Illinois",-4.541942242947138
"Lemont village, Illinois",1.503474132087599
"Libertyville village, Illinois",4.492479614313812
"Lily Lake village, Illinois",2.038485274247151
"Lincolnshire village, Illinois",6.101753228663651
"Lincolnwood village, Illinois",1.1025798757703376
"Lindenhurst village, Illinois",0.9815716958224345
"Lisle village, Illinois",2.897306381225566
"Lockport city, Illinois",0.7831867933680939
"Lombard village, Illinois",0.2321882624857508
"Long Grove village, Illinois",6.101753228663652
"Lynwood village, Illinois",-4.960642873874393
